Employee_ID,Full_Name,Gender,Employee_Name,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
E0327,William Brown,Male,James,39,No,Travel_Frequently,672,Research & Development,7,2,Medical,1,444,3,54,2,5,Manager,4,Married,19272,21141,1,Y,No,15,3,1,80,1,21,2,3,21,9,13,3
E0328,Patricia Clark,Female,Jessica,39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,1,445,4,41,3,2,Sales Executive,3,Married,5238,17778,4,Y,Yes,18,3,1,80,0,12,3,2,1,0,0,0
E0329,Robert Johnson,Male,James,33,No,Travel_Frequently,508,Sales,10,3,Marketing,1,446,2,46,2,2,Sales Executive,4,Single,4682,4317,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1
E0330,Michael Johnson,Male,Thomas,47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,42,3,5,Research Director,3,Married,18300,16375,4,Y,No,11,3,2,80,1,21,2,3,3,2,1,1
E0331,Karen King,Female,Barbara,43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0
E0332,John Harris,Male,Richard,27,No,Non-Travel,210,Sales,1,1,Marketing,1,449,3,73,3,2,Sales Executive,2,Married,6349,22107,0,Y,Yes,13,3,4,80,1,6,0,3,5,4,1,4
E0333,Barbara Davis,Female,Karen,54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,450,4,31,3,2,Research Scientist,3,Single,4869,16885,3,Y,No,12,3,4,80,0,20,4,2,4,3,0,3
E0334,Linda Davis,Female,Susan,43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451,3,43,3,3,Healthcare Representative,1,Married,9985,9262,8,Y,No,16,3,1,80,1,10,1,2,1,0,0,0
E0335,David Taylor,Male,Charles,45,No,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,75,3,2,Research Scientist,4,Married,3697,9278,9,Y,No,14,3,1,80,2,12,3,3,10,9,9,8
E0336,Robert Brown,Male,Robert,40,No,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2
E0337,Thomas Thomas,Male,John,29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7
E0338,Thomas Anderson,Male,Thomas,29,No,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,30,2,1,Laboratory Technician,4,Single,3983,7621,0,Y,No,17,3,3,80,0,4,2,3,3,2,2,2
E0339,Patricia Young,Female,Jessica,30,No,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,30,2,2,Sales Executive,3,Divorced,6118,5431,1,Y,No,13,3,3,80,3,10,2,3,10,9,1,2
E0340,Elizabeth Clark,Female,Karen,27,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,No,18,3,1,80,1,8,3,3,8,7,0,7
E0341,Michael Harris,Male,Richard,37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,Y,No,16,3,3,80,2,8,2,2,6,2,0,4
E0342,Michael Taylor,Male,Thomas,38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9
E0343,Patricia Hall,Female,Linda,31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10
E0344,Patricia Allen,Female,Linda,29,No,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,7,1,7
E0345,Robert Brown,Male,James,35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,62,3,3,Manufacturing Director,2,Single,8095,18264,0,Y,No,13,3,4,80,0,17,5,3,16,6,0,13
E0346,William Brown,Male,Joseph,23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,83,3,1,Research Scientist,4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2
E0347,John Martin,Male,Robert,41,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Y,Yes,15,3,4,80,0,8,3,3,5,4,1,2
E0348,Thomas Johnson,Male,Richard,47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,99,3,2,Sales Representative,3,Single,2976,25751,3,Y,No,19,3,1,80,0,5,3,3,0,0,0,0
E0349,Patricia Young,Female,Patricia,42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0
E0350,Thomas Jackson,Male,John,29,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,61,3,2,Sales Executive,3,Married,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2
E0351,Robert Harris,Male,Richard,42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0
E0352,Jennifer Walker,Female,Barbara,32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7
E0353,Sarah Lewis,Female,Jennifer,48,No,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,91,3,3,Manager,3,Married,12504,23978,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0
E0354,Richard Smith,Male,Thomas,37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7
E0355,Linda Robinson,Female,Karen,30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,85,3,2,Sales Executive,3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
E0356,Richard White,Male,David,26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,57,3,2,Sales Executive,3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7
E0357,James Anderson,Male,Charles,42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,98,2,2,Healthcare Representative,4,Single,6781,17078,3,Y,No,23,4,2,80,0,14,6,3,1,0,0,0
E0358,Susan Robinson,Female,Karen,21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,99,2,1,Sales Representative,2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
E0359,Linda Robinson,Female,Barbara,36,No,Non-Travel,845,Sales,1,5,Medical,1,479,4,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0
E0360,David Jackson,Male,James,36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,48,2,3,Sales Executive,4,Married,9699,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12
E0361,John Anderson,Male,Michael,57,No,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,4,88,3,2,Healthcare Representative,3,Married,6755,2967,2,Y,No,11,3,3,80,0,15,2,3,3,2,1,2
E0362,Linda Lewis,Female,Karen,40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7
E0363,Richard Thomas,Male,David,21,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,39,3,1,Sales Representative,4,Single,2610,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,2
E0364,Susan Walker,Female,Barbara,33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,34,3,1,Sales Representative,3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0
E0365,Barbara Walker,Female,Elizabeth,37,No,Travel_Rarely,921,Research & Development,10,3,Medical,1,486,3,98,3,1,Laboratory Technician,1,Married,3452,17663,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3
E0366,Susan Clark,Female,Mary,46,No,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,30,3,2,Manufacturing Director,3,Married,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0
E0367,William Thomas,Male,Joseph,41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7
E0368,David Anderson,Male,William,50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,100,2,3,Healthcare Representative,4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3
E0369,Charles Jackson,Male,William,40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,68,2,2,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0
E0370,Charles White,Male,Richard,31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,42,2,1,Research Scientist,2,Single,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
E0371,Susan Walker,Female,Linda,21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
E0372,James Anderson,Male,David,29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,4,54,3,1,Research Scientist,4,Single,2201,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2
E0373,Charles Johnson,Male,Michael,35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,97,2,2,Healthcare Representative,2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
E0374,William Anderson,Male,Robert,27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4
E0375,John Anderson,Male,Richard,28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
E0376,Michael Smith,Male,Joseph,49,No,Travel_Rarely,1261,Research & Development,7,3,Other,1,499,2,31,2,3,Healthcare Representative,3,Single,10965,12066,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0
E0377,Jennifer Davis,Female,Linda,51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7
E0378,Elizabeth Robinson,Female,Patricia,36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,96,3,1,Research Scientist,3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2
E0379,Richard Anderson,Male,Charles,34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4
E0380,Karen Robinson,Female,Jennifer,55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
E0381,Patricia Robinson,Female,Mary,24,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
E0382,John White,Male,Joseph,30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,72,3,1,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
E0383,Robert Harris,Male,Robert,26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,73,3,1,Research Scientist,1,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
E0384,Linda Hall,Female,Karen,22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,43,3,1,Research Scientist,2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
E0385,Charles Anderson,Male,Richard,36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,61,2,3,Sales Executive,3,Married,7596,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
E0386,Charles Smith,Male,Charles,30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,40,3,1,Research Scientist,4,Single,2285,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0
E0387,Sarah Davis,Female,Elizabeth,37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
E0388,Jessica King,Female,Karen,40,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,46,3,2,Sales Executive,2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3
E0389,Sarah Davis,Female,Elizabeth,42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
E0390,John Smith,Male,Richard,37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1
E0391,Charles Johnson,Male,Thomas,43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,59,2,4,Research Director,2,Divorced,14336,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9
E0392,Karen Young,Female,Elizabeth,40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,78,2,2,Laboratory Technician,3,Married,3448,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
E0393,William Jackson,Male,James,54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2
E0394,Patricia Young,Female,Karen,34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,72,3,2,Sales Executive,3,Married,6538,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
E0395,Barbara Young,Female,Karen,31,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,31,3,2,Manufacturing Director,1,Married,4306,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12
E0396,James Smith,Male,James,43,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,61,3,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2
E0397,Susan Young,Female,Patricia,43,No,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2
E0398,Jennifer Walker,Female,Barbara,25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,99,2,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
E0399,Mary Allen,Female,Sarah,37,No,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7
E0400,William White,Male,Joseph,31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,98,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
E0401,Joseph Harris,Male,William,39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
E0402,Susan Davis,Female,Mary,56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
E0403,Jennifer Young,Female,Susan,30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
E0404,Robert White,Male,William,41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
E0405,James Anderson,Male,David,28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
E0406,Michael Anderson,Male,Richard,25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
E0407,Joseph Martin,Male,Robert,52,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
E0408,Michael Taylor,Male,Charles,45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
E0409,Jennifer Allen,Female,Jennifer,52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,30,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
E0410,Jennifer Lewis,Female,Elizabeth,42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,92,3,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2
E0411,Karen Walker,Female,Barbara,30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2
E0412,Elizabeth Hall,Female,Sarah,60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10
E0413,Jessica Wright,Female,Elizabeth,46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
E0414,Barbara Davis,Female,Mary,42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4
E0415,Jessica Young,Female,Linda,24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4
E0416,Sarah King,Female,Elizabeth,34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0
E0417,John Johnson,Male,Charles,38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
E0418,Jennifer Davis,Female,Karen,40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,79,3,5,Manager,3,Married,18041,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12
E0419,Linda Robinson,Female,Elizabeth,26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,90,3,1,Research Scientist,4,Divorced,2886,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
E0420,Thomas Harris,Male,Richard,30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,53,3,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4
E0421,Thomas Martin,Male,Michael,29,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7
E0422,Susan Clark,Female,Mary,29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,71,2,1,Research Scientist,2,Married,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1
E0423,Charles Anderson,Male,William,19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,52,2,1,Human Resources,4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
E0424,Linda Young,Female,Susan,30,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,69,3,3,Sales Executive,1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
E0425,John Thomas,Male,Charles,57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0
E0426,William Johnson,Male,Charles,50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
E0427,Karen Davis,Female,Barbara,30,No,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
E0428,Jessica Clark,Female,Elizabeth,60,No,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,80,2,3,Sales Executive,1,Married,10266,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11
E0429,Susan King,Female,Linda,47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4
E0430,Thomas White,Male,John,46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,51,3,4,Research Director,3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1
E0431,Charles Harris,Male,Michael,35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,46,1,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3
E0432,Patricia Hall,Female,Karen,54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
E0433,Michael Taylor,Male,Charles,34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
E0434,Elizabeth Lewis,Female,Jennifer,46,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
E0435,James White,Male,Charles,31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
E0436,William Brown,Male,James,33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7
E0437,Charles Jackson,Male,Joseph,33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3
E0438,Richard Smith,Male,William,30,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,57,3,1,Sales Representative,2,Single,2983,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2
E0439,Thomas Johnson,Male,Michael,35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0
E0440,William Anderson,Male,Joseph,31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,1,66,3,3,Healthcare Representative,3,Married,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0
E0441,Jessica Young,Female,Susan,34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,43,3,3,Human Resources,1,Divorced,9950,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2
E0442,Richard Jackson,Male,John,42,No,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,2,97,3,1,Laboratory Technician,3,Married,2093,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0
E0443,David Thomas,Male,James,36,No,Non-Travel,635,Sales,10,4,Medical,1,592,2,32,3,3,Sales Executive,4,Single,9980,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7
E0444,Thomas Thomas,Male,Michael,22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,99,2,1,Laboratory Technician,3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
E0445,Patricia Clark,Female,Jessica,48,No,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
E0446,Elizabeth Robinson,Female,Patricia,55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,83,3,4,Manager,2,Single,16835,9873,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7
E0447,John Brown,Male,Robert,41,No,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10
E0448,Richard White,Male,James,35,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9
E0449,Barbara Walker,Female,Mary,40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13
